RT 001 DUSUN RANAH PAYUNG SEKAKI,5
RT 002 DUSUN RANAH PAYUNG SEKAKI,8
RT 003 DUSUN RANAH PAYUNG SEKAKI,5
RT 004 DUSUN PUTRI INUMAN,3
RT 005 DUSUN PUTRI INUMAN,5
RT 006 DUSUN PUTRI INUMAN,7
RT 007 DUSUN PUTRI INUMAN,4
RT 008 DUSUN TANGKIT JAYA,10
RT 009 DUSUN TANGKIT JAYA,7
RT 010 DUSUN TANGKIT JAYA,9
RT 011 DUSUN TANGKIT JAYA,3
PERKEBUNAN KARET,0
PERSAWAHAN,0
PERKEBUNAN SAWIT,0
RT 001 DUSUN KERAMAT TAHAN KILANG,9
RT 002 DUSUN KERAMAT TAHAN KILANG,17
RT 003 DUSUN KERAMAT TAHAN KILANG,11
RT 004 DUSUN KERAMAT TAHAN KILANG,9
RT 005 DUSUN KERAMAT TAHAN KILANG,13
RT 006 DUSUN KEMANG NINO,6
RT 007 DUSUN KEMANG NINO,6
RT 008 DUSUN KEMANG NINO,10
RT 009 DUSUN KEMANG NINO,9
RT 010 DUSUN TANAH ABANG,10
RT 011 DUSUN TANAH ABANG,8
RT 012 DUSUN TANAH ABANG,6
RT 013 DUSUN TANAH ABANG,6
RT 014 DUSUN KAMPUNG ASAM,7
RT 015 DUSUN KAMPUNG ASAM,12
RT 016 DUSUN KAMPUNG ASAM,14
RT 017 DUSUN KAMPUNG ASAM,3
RT 018 DUSUN KAMPUNG BARU,8
RT 019 DUSUN KAMPUNG BARU,6
RT 020 DUSUN KAMPUNG BARU,12
RT 021 DUSUN KAMPUNG BARU,5
PERKEBUNAN RAKYAT,0
RT 001 DUSUN 1 SEI TRUSAN,4
RT 002 DUSUN 1 SEI TRUSAN,16
RT 003 DUSUN 2 SUNGAI PEDAK,6
RT 004 DUSUN 2 SUNGAI PEDAK,3
RT 005 DUSUN 3 SEI REJO,15
RT 006 DUSUN 3 SEI REJO,13
PERKEBUNAN SAWIT,0
PERSAWAHAN,0
RT 001 RW 001,10
RT 002 RW 001,8
RT 003 RW 001,13
RT 004 RW 001,8
RT 005 RW 001,9
RT 006 RW 002,10
RT 007 RW 002,7
RT 008 RW 002,7
RT 009 RW 002,13
RT 010 RW 002,13
RT 011 RW 003,8
RT 012 RW 003,32
RT 013 RW 003,7
RT 014 RW 003,8
RT 015 RW 003,17
RT 016 RW 004,12
RT 017 RW 004,8
RT 018 RW 004,5
RT 019 RW 004,5
RT 020 RW 004,13
PERKEBUNAN SAWIT,0
SAWAH,0
SAWAH,0
SAWAH DAN KEBUN SAWIT,0
KEBUN KARET,0
KEBUN KARET DAN SAWIT,0
KEBUN SAWIT DAN KARET,0
RT 001 DUSUN MAWAR,11
RT 002 DUSUN MAWAR,13
RT 003 DUSUN MAWAR,8
RT 004 DUSUN MUNGPO,12
RT 005 DUSUN MUNGPO,13
RT 006 DUSUN MUNGPO,13
RT 007 DUSUN TANAH GENTING,10
RT 008 DUSUN TANAH GENTING,8
RT 009 DUSUN TANAH GENTING,11
RT 010 DUSUN SEROJA,7
RT 011 DUSUN SEROJA,12
RT 012 DUSUN SEROJA,7
SAWAH,0
RT 001 DUSUN 1 TANAH LEMBAU,19
RT 004 DUSUN 6 KELAPO CUPANG,8
RT 014 DUSUN 6 KELAPO CUPANG,2
RT 002 DUSUN 2 PELUMPUNG ULU,8
RT 005 DUSUN 5 KARANG ANYAR,5
RT 013 DUSUN 5 KARANG ANYAR,7
RT 007 DUSUN 3 RAWA BARU,8
RT 008 DUSUN 3 RAWA BARU,3
RT 009 DUSUN 3 RAWA BARU,4
RT 010 DUSUN 3 RAWA BARU,1
RT 011 DUSUN 3 RAWA BARU,8
RT 003 DUSUN 4 MENCORA,24
RT 006 DUSUN 4 MENCORA,20
RT 012 DUSUN 1 TANAH LEMBAU,18
RT 015 DUSUN 1 TANAH LEMBAU,12
RT 016 DUSUN 4 MENCORA,15
RT 017 DUSUN 4 MENCORA,10
RT 018 DUSUN 4 MENCORA,25
RT 019 DUSUN 5 KARANG ANYAR,5
RT 020 DUSUN 2 PELUMPUNG ULU,3
RT 021 DUSUN 2 PELUMPUNG ULU,8
KEBUN SAWIT,0
SAWIT,0
SAWIT,0
KARET,0
KARET,0
RT 001 DUSUN BATUAH,4
RT 002 DUSUN BATUAH,2
RT 003 DUSUN TELUK,5
RT 004 DUSUN TELUK,3
KEBUN KELAPA SAWIT,0
RT 001 DUSUN TANJUNG SAKTI,6
RT 002 DUSUN TANJUNG SAKTI,2
RT 003 DUSUN TANJUNG SAKTI,9
RT 004 DUSUN TANJUNG SAKTI,8
RT 005 DUSUN CEMPAKA PUTIH,6
RT 006 DUSUN CEMPAKA PUTIH,8
RT 007 DUSUN CEMPAKA PUTIH,12
SAWAH,0
RT 001 DUSUN KASANG JAYA,7
RT 002 DUSUN KASANG JAYA,7
RT 003 DUSUN KASANG JAYA,8
RT 004 DUSUN KASANG JAYA,14
RT 005 DUSUN OLAK KEMANG,7
RT 006 DUSUN OLAK KEMANG,12
RT 007 DUSUN OLAK KEMANG,7
RT 008 DUSUN SIMPANG KAPUK,5
RT 009 DUSUN SIMPANG KAPUK,5
RT 010 DUSUN SIMPANG KAPUK,2
PERKEBUNAN SAWIT,0
PERKEBUNAN SAWIT,0
RT 01 DUSUN TANJUNG BERINGIN,2
RT 02 DUSUN TANJUNG BERINGIN,3
RT 03 DUSUN TANJUNG BERINGIN,4
RT 04 DUSUN SIALANG MADU,11
RT 05 DUSUN SIALANG MADU,12
RT 06 DUSUN SIALANG MADU,2
RT 07 DUSUN TALANG TEMBESU,6
RT 08 DUSUN TALANG TEMBESU,12
RT 09 DUSUN TALANG TEMBESU,9
KEBUN,0
SAWAH,0
RT 001 DUSUN DANGLO BARU,8
RT 002 DUSUN DANGLO BARU,14
RT 003 DUSUN DANGLO BARU,10
